sex,age,geo,year,population,id
Females,Total,Germany,1996,41992676,305
Females,Total,Germany,1997,42057327,306
Females,Total,Germany,1998,42065068,307
Females,Total,Germany,1999,42032869,308
Females,Total,Germany,2000,42072699,309
Females,Total,Germany,2001,42103004,310
Females,Total,Germany,2002,42165633,311
Females,Total,Germany,2003,42191801,312
Females,Total,Germany,2004,42175657,313
Females,Total,Germany,2005,42147222,314
Females,Total,Germany,2006,42098034,315
Females,Total,Germany,2007,42013740,316
Females,Total,Germany,2008,41943545,317
Females,Total,Germany,2009,41818073,318
Females,Total,Germany,2010,41698651,319
Females,Total,Germany,2011,41097465,320
Females,Total,Germany,2012,41097953,321
Females,Total,Germany,2013,41142770,322
Females,Total,Germany,2014,41210540,323
Females,Total,Germany,2015,41362080,324
Females,Total,Germany,2016,41661561,325
Females,Total,Germany,2017,41824535,326
Females,Total,Germany,2018,41948786,327
Females,Total,Germany,2019,42052522,328
Females,Total,Germany,2020,42129098,329
Females,Total,Germany,2021,42128512,330
Females,Total,Germany,2022,42170339,331
Females,Total,Germany,2023,42198796,332
Females,Total,Germany,2024,42294114,333
Females,Total,Denmark,1995,2642394,334
Females,Total,Denmark,1996,2658805,335
Females,Total,Denmark,1997,2670184,336
Females,Total,Denmark,1998,2679191,337
Females,Total,Denmark,1999,2688156,338
Females,Total,Denmark,2000,2695898,339
Females,Total,Denmark,2001,2704893,340
Females,Total,Denmark,2002,2714208,341
Females,Total,Denmark,2003,2721084,342
Females,Total,Denmark,2004,2727505,343
Females,Total,Denmark,2005,2734113,344
Females,Total,Denmark,2006,2741613,345
Females,Total,Denmark,2007,2750422,346
Females,Total,Denmark,2008,2763125,347
Females,Total,Denmark,2009,2779431,348
Females,Total,Denmark,2010,2791452,349
Females,Total,Denmark,2011,2804046,350
Females,Total,Denmark,2012,2813740,351
Females,Total,Denmark,2013,2823776,352
Females,Total,Denmark,2014,2834956,353
Females,Total,Denmark,2015,2848701,354
Females,Total,Denmark,2016,2869364,355
Females,Total,Denmark,2017,2888591,356
Females,Total,Denmark,2018,2904717,357
Females,Total,Denmark,2019,2917008,358
Females,Total,Denmark,2020,2925845,359
Females,Total,Denmark,2021,2935188,360
Females,Total,Denmark,2022,2950505,361
Females,Total,Denmark,2023,2983655,362
Females,Total,Denmark,2024,2997558,363
Females,Total,Estonia,1995,776811,364
Females,Total,Estonia,1996,765837,365
Females,Total,Estonia,1997,756506,366
